ua,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agra,9,13,8,14,12,14,10,11,11,13,14,9,10,14,15,14,11,15,8
Ahmedabad,35,29,27,30,32,29,33,29,38,39,37,29,29,32,32,32,30,37,32
Allahabad,12,10,11,13,13,9,12,14,12,11,11,8,8,7,13,10,15,11,15
Amritsar,3,3,2,3,2,2,2,2,2,5,4,2,3,3,4,4,3,4,2
Asansol,14,15,13,15,14,13,14,10,13,8,9,16,14,16,10,15,9,10,11
Aurangabad,40,38,38,43,45,37,35,43,46,43,39,42,43,36,41,43,43,44,40
Bengaluru,28,34,31,24,24,30,31,23,25,30,23,33,31,22,20,22,19,18,24
Bhopal,24,23,26,26,28,21,23,28,31,24,26,23,23,25,26,23,24,31,25
Chandigarh,4,2,4,4,3,4,4,3,3,3,2,3,2,2,2,3,2,3,3
Chennai,36,41,40,44,44,43,46,38,29,29,40,45,40,45,45,37,40,34,44
Coimbatore,52,52,52,51,52,52,50,52,52,52,51,52,49,52,48,48,51,47,49
Delhi_Ghaziabad_Faridabad,6,7,5,5,6,6,5,7,5,7,6,5,4,5,6,6,5,6,5
Dhanbad,17,17,16,17,17,17,17,18,17,15,17,19,17,17,16,17,17,17,17
Durg-Bhilainagar,29,31,30,27,29,26,29,30,39,37,25,35,30,26,27,29,34,26,23
Gwalior,18,18,19,19,19,19,19,20,19,23,19,18,19,19,19,19,21,25,19
Hyderabad,41,35,36,42,36,36,27,24,24,20,24,25,25,21,21,21,20,19,20
Indore,44,32,34,33,37,35,32,34,47,33,31,27,32,30,36,35,32,42,31
Jabalpur,21,21,22,21,21,22,20,26,27,27,20,22,21,24,24,20,23,29,27
Jaipur,19,19,18,18,18,18,18,17,18,19,18,17,18,18,18,18,18,20,18
Jamshedpur,16,16,17,16,15,16,16,15,16,17,15,15,16,15,17,16,16,13,10
Jodhpur,27,30,21,29,27,28,36,27,33,32,32,21,22,27,29,30,28,39,26
Kalyan and Dombivali,38,33,42,41,41,42,45,41,45,41,42,38,38,42,40,39,42,32,37
Kannur,30,43,39,36,40,41,41,44,44,50,44,47,47,48,50,49,46,45,51
Kanpur,10,11,15,9,10,10,11,16,14,16,16,13,12,13,14,8,12,16,14
Kochi,25,26,29,25,26,23,30,32,23,22,35,24,37,34,31,34,27,30,35
Kolkata_Haora,13,12,10,11,9,11,13,8,6,4,8,10,11,10,11,11,10,9,12
Kollam,49,48,49,45,48,47,48,51,41,49,49,48,51,47,52,51,47,51,50
Kota,20,20,20,23,20,20,22,19,21,28,22,20,20,23,23,25,22,24,21
Kozhikode,46,45,44,40,39,45,40,40,36,45,46,41,46,46,46,46,44,50,48
Lucknow,8,8,12,8,8,8,9,13,10,10,12,12,9,11,8,7,8,14,13
Ludhiana,5,5,6,7,4,7,6,4,7,6,5,6,7,8,7,9,7,7,4
Madurai,47,51,50,52,50,51,51,45,48,47,48,50,50,51,49,47,50,49,42
Malappuram,26,22,35,22,22,24,24,22,20,25,33,28,33,29,25,27,26,27,33
Meerut,2,4,3,2,5,3,3,6,8,9,7,7,5,4,3,5,6,5,6
Mumbai_Thane,22,25,24,28,23,31,25,25,26,26,27,26,28,31,30,28,29,22,28
Nagpur,37,36,32,38,35,33,28,37,43,42,29,37,39,37,28,33,33,28,36
Nashik,43,40,37,39,38,39,43,39,40,38,38,39,35,41,39,40,38,43,39
Patna,7,6,7,6,7,5,7,5,4,2,3,4,6,6,5,2,4,2,7
Pune,48,42,45,46,43,40,44,42,42,40,43,43,42,39,38,36,39,36,41
Raipur,23,24,23,20,25,25,21,21,28,21,21,30,24,20,22,24,35,21,22
Rajkot,51,50,46,48,49,50,49,46,51,46,45,46,41,44,44,45,48,48,43
Ranchi,15,14,9,10,11,12,8,9,9,12,10,14,13,9,9,13,14,8,9
Srinagar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Surat,34,27,28,31,33,34,38,33,32,35,30,32,26,35,34,26,31,33,30
Thiruvananthapuram,33,47,47,37,42,44,42,47,30,44,47,44,44,43,43,44,37,40,45
Thrissur,45,46,48,47,46,48,47,49,49,51,52,49,48,50,51,50,49,52,52
Tiruchirappalli,50,49,51,50,51,49,52,50,50,48,50,51,52,49,47,52,52,46,46
Vadodara,39,28,25,32,34,27,37,31,37,36,34,31,27,33,33,31,36,35,29
Varanasi,11,9,14,12,16,15,15,12,15,14,13,11,15,12,12,12,13,12,16
Vasai-Virar,31,37,33,34,30,32,34,36,34,31,36,36,36,38,37,42,41,38,38
Vijayawada,32,39,41,35,31,38,26,35,22,18,28,34,34,28,35,38,25,23,34
Vishakhapatnam,42,44,43,49,47,46,39,48,35,34,41,40,45,40,42,41,45,41,47
