ua,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agra,7,12,7,13,8,9,8,8,8,11,11,7,7,11,11,9,9,11,7
Ahmedabad,35,34,32,34,33,33,33,33,38,39,37,32,31,34,34,34,34,41,36
Allahabad,14,11,14,15,15,12,14,13,12,14,12,11,9,9,14,10,15,12,17
Amritsar,3,4,4,4,1,4,2,1,4,3,4,1,4,1,3,5,1,4,1
Asansol,10,13,11,12,14,10,11,10,10,9,9,17,13,12,9,15,10,9,9
Aurangabad,27,27,29,29,28,27,28,31,28,28,27,29,34,27,30,29,27,30,31
Bengaluru,23,22,22,19,20,21,21,20,16,20,21,25,24,21,19,22,19,13,25
Bhopal,21,21,24,23,22,20,22,22,23,23,22,20,22,22,22,20,21,22,21
Chandigarh,1,1,2,3,2,2,3,2,2,1,1,2,1,2,2,3,2,1,2
Chennai,50,49,47,50,50,51,49,51,49,47,48,51,46,48,51,48,49,48,49
Coimbatore,41,41,41,38,41,38,35,39,35,41,41,41,40,42,38,41,40,33,41
Delhi_Ghaziabad_Faridabad,6,6,5,7,7,7,7,6,7,7,6,6,5,6,7,7,7,6,6
Dhanbad,9,10,8,9,9,8,9,11,9,10,10,16,11,8,8,14,11,7,8
Durg-Bhilainagar,30,29,30,28,30,29,29,29,30,31,29,30,28,31,28,30,30,27,27
Gwalior,16,17,18,21,18,19,19,18,20,19,18,12,17,18,21,18,22,21,15
Hyderabad,33,31,34,31,32,32,30,32,27,27,30,33,30,29,29,32,28,25,29
Indore,25,24,26,24,24,24,24,23,25,24,24,22,23,24,24,24,24,29,24
Jabalpur,19,18,20,20,16,17,17,21,21,22,19,19,20,20,18,17,20,20,22
Jaipur,17,20,13,17,12,16,16,12,19,18,15,10,15,16,12,16,16,18,11
Jamshedpur,18,16,17,16,21,18,18,17,17,17,17,18,18,17,17,19,18,14,13
Jodhpur,29,30,25,30,27,30,31,26,31,30,31,26,26,30,31,27,29,32,28
Kalyan and Dombivali,34,37,38,39,37,39,39,37,39,37,36,38,38,41,39,37,37,34,38
Kannur,44,45,45,44,45,44,46,45,47,50,45,46,48,47,47,47,47,47,50
Kanpur,11,15,10,11,13,14,13,15,14,13,16,9,12,14,16,8,13,16,14
Kochi,42,42,42,42,43,42,44,43,42,42,44,42,43,44,44,44,43,44,43
Kolkata_Haora,20,19,19,18,23,22,20,19,18,15,20,23,19,19,20,23,17,19,20
Kollam,51,50,50,49,49,49,51,52,48,51,50,47,51,50,52,51,48,52,51
Kota,24,25,21,26,25,25,25,24,26,26,25,21,21,25,25,25,25,24,19
Kozhikode,47,46,46,45,46,47,45,44,45,45,46,45,45,45,45,45,45,49,46
Lucknow,8,9,9,8,10,13,10,14,13,12,13,14,14,15,13,12,12,17,16
Ludhiana,4,5,6,6,3,6,5,5,6,6,5,4,6,5,5,6,6,5,5
Madurai,49,52,52,52,51,52,50,49,52,49,49,50,50,52,50,50,51,50,45
Malappuram,40,39,40,36,40,37,38,40,32,35,40,40,41,40,36,40,39,35,40
Meerut,2,2,1,2,4,3,4,3,5,5,3,3,3,4,4,2,3,3,4
Mumbai_Thane,39,40,39,41,38,41,42,41,41,40,39,39,39,38,41,39,41,40,39
Nagpur,31,32,33,33,34,31,32,35,34,34,32,36,35,32,32,35,32,31,33
Nashik,22,23,23,22,19,23,23,25,22,21,23,24,25,23,23,21,23,23,23
Patna,13,8,16,10,11,11,12,9,11,8,8,8,10,7,10,11,8,8,10
Pune,28,26,28,27,26,26,27,28,24,25,28,27,29,28,27,26,26,28,30
Raipur,26,28,27,25,29,28,26,27,29,29,26,28,27,26,26,28,31,26,26
Rajkot,36,35,35,32,31,34,34,30,33,32,33,31,32,33,33,31,33,37,32
Ranchi,5,3,3,1,5,1,1,4,1,4,2,5,2,3,1,4,4,2,3
Srinagar,12,7,12,5,6,5,6,7,3,2,7,15,8,10,6,1,5,10,12
Surat,38,38,37,40,39,40,40,38,43,44,38,37,37,39,40,36,38,42,37
Thiruvananthapuram,46,47,48,47,47,46,47,46,46,46,47,48,47,46,46,46,46,45,47
Thrissur,48,48,49,48,48,48,48,48,51,52,52,49,49,51,48,49,50,51,52
Tiruchirappalli,52,51,51,51,52,50,52,50,50,48,51,52,52,49,49,52,52,46,48
Vadodara,37,33,31,35,36,35,36,34,37,38,35,34,33,35,35,33,35,38,34
Varanasi,15,14,15,14,17,15,15,16,15,16,14,13,16,13,15,13,14,15,18
Vasai-Virar,32,36,36,37,35,36,37,36,36,33,34,35,36,36,37,38,36,36,35
Vijayawada,43,43,44,43,42,43,41,42,40,36,42,43,42,37,42,42,42,39,42
Vishakhapatnam,45,44,43,46,44,45,43,47,44,43,43,44,44,43,43,43,44,43,44
