ua,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agra,7,8,8,13,10,7,8,6,8,8,8,8,8,11,14,10,8,9,7
Ahmedabad,36,37,36,35,34,35,35,32,38,38,38,31,34,35,37,35,35,39,38
Allahabad,17,14,14,15,19,14,16,13,13,19,16,15,14,13,19,13,19,16,19
Amritsar,4,4,4,5,3,4,4,4,3,4,4,3,5,2,2,5,2,4,3
Asansol,9,9,12,6,17,12,9,11,11,9,10,17,12,8,9,17,11,8,11
Aurangabad,24,24,27,24,23,24,24,26,24,26,23,26,27,24,24,24,24,26,28
Bengaluru,22,11,18,10,14,9,12,14,7,11,17,19,22,14,12,20,15,10,24
Bhopal,16,17,21,22,13,15,17,19,19,20,21,14,16,23,15,16,13,20,13
Chandigarh,2,2,3,2,2,2,2,2,2,2,2,1,3,3,3,3,4,2,4
Chennai,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Coimbatore,35,34,31,33,35,33,33,31,28,32,33,32,32,33,33,37,33,29,36
Delhi_Ghaziabad_Faridabad,8,7,5,11,9,8,7,8,10,7,7,6,9,7,7,7,7,7,9
Dhanbad,6,6,6,3,8,5,6,7,6,6,6,10,6,6,6,9,6,6,6
Durg-Bhilainagar,28,29,30,27,29,29,27,30,29,30,27,28,28,30,26,29,29,27,30
Gwalior,11,19,13,21,16,16,19,10,16,15,11,9,10,17,20,15,16,18,10
Hyderabad,32,31,32,31,31,32,32,33,32,31,31,36,35,31,34,38,32,30,34
Indore,18,18,22,20,12,17,20,17,21,21,20,16,19,22,13,12,14,22,16
Jabalpur,15,12,20,17,11,11,11,15,12,16,14,12,11,12,10,8,10,12,15
Jaipur,10,21,9,14,7,13,10,9,14,12,9,7,7,9,8,11,9,11,8
Jamshedpur,21,23,19,18,25,22,22,21,22,22,22,24,21,20,17,25,23,17,18
Jodhpur,29,30,25,30,26,28,30,27,33,29,29,25,26,27,29,28,30,31,26
Kalyan and Dombivali,34,38,38,36,36,37,36,37,37,36,35,37,38,38,35,36,38,36,35
Kannur,44,44,44,43,45,45,45,44,46,47,44,46,45,46,46,45,46,49,45
Kanpur,14,16,10,12,15,19,14,12,15,13,15,11,13,18,21,14,18,15,14
Kochi,45,45,45,45,44,44,46,43,44,45,45,44,46,45,45,46,45,48,46
Kolkata_Haora,26,25,26,25,30,31,26,28,26,24,28,30,24,26,28,31,27,25,25
Kollam,49,51,50,51,48,49,51,50,49,51,48,47,51,51,49,49,48,51,48
Kota,25,26,23,29,24,25,25,23,27,27,25,22,23,25,25,26,26,24,17
Kozhikode,46,48,46,46,46,46,44,47,45,44,46,45,44,44,44,44,43,45,44
Lucknow,12,13,11,9,20,18,15,18,17,18,13,18,17,19,23,18,20,21,20
Ludhiana,5,5,7,8,5,6,5,5,5,5,5,5,4,5,5,4,5,5,5
Madurai,50,49,51,47,51,51,48,51,51,49,51,50,48,50,48,50,51,47,47
Malappuram,41,41,40,40,41,40,39,40,39,39,40,41,42,43,40,41,40,38,42
Meerut,3,3,2,4,4,3,3,3,4,3,3,4,2,4,4,2,3,3,2
Mumbai_Thane,40,40,41,41,40,41,43,41,41,43,41,39,40,41,41,40,41,43,40
Nagpur,30,32,34,34,32,30,34,36,34,34,32,34,33,32,31,32,34,33,33
Nashik,13,10,17,7,6,10,13,16,9,10,12,13,20,10,11,6,12,14,12
Patna,20,15,16,19,21,21,21,22,20,14,19,21,18,16,18,21,17,13,22
Pune,23,22,24,23,18,23,23,24,23,23,24,23,25,21,16,22,22,23,23
Raipur,27,28,29,26,28,27,28,29,31,33,26,29,30,28,27,30,31,28,29
Rajkot,31,27,28,28,27,26,31,25,30,28,30,27,29,29,30,27,28,34,27
Ranchi,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Srinagar,39,33,33,32,33,34,29,35,25,25,36,40,31,34,32,23,25,32,31
Surat,38,39,39,39,39,39,40,39,40,41,39,38,39,39,39,39,39,41,39
Thiruvananthapuram,47,46,48,50,49,47,49,46,50,48,50,49,50,49,51,48,47,50,51
Thrissur,48,47,47,49,47,48,50,49,48,50,47,48,47,48,47,47,49,46,49
Tiruchirappalli,51,50,49,48,50,50,47,48,47,46,49,51,49,47,50,51,50,44,50
Vadodara,37,35,37,37,37,36,37,34,36,37,37,33,36,37,38,33,36,37,37
Varanasi,19,20,15,16,22,20,18,20,18,17,18,20,15,15,22,19,21,19,21
Vasai-Virar,33,36,35,38,38,38,38,38,35,35,34,35,37,36,36,34,37,35,32
Vijayawada,43,43,43,42,43,42,41,42,43,40,43,43,43,40,43,42,44,42,43
Vishakhapatnam,42,42,42,44,42,43,42,45,42,42,42,42,41,42,42,43,42,40,41
