ua,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agra,43,43,39,42,41,43,42,43,42,36,39,39,33,29,30,31,31,36,41
Ahmedabad,48,49,50,48,51,50,51,51,47,51,51,51,51,51,51,51,51,49,50
Allahabad,41,41,35,40,38,36,34,29,37,32,28,35,29,37,25,25,28,29,34
Amritsar,50,51,51,51,50,48,49,50,51,50,47,48,49,49,48,49,50,50,49
Asansol,31,34,40,35,33,28,22,18,21,21,20,28,36,36,26,23,24,31,33
Aurangabad,9,10,12,9,7,12,17,13,11,11,15,12,8,12,8,10,16,9,10
Bengaluru,23,24,18,18,25,37,20,30,39,22,33,18,17,18,24,35,17,35,22
Bhopal,21,19,15,20,15,16,15,19,15,20,14,17,15,13,12,14,25,14,20
Chandigarh,36,39,42,33,34,27,26,26,25,30,26,26,21,21,20,15,15,18,23
Chennai,25,32,36,24,30,25,31,28,31,42,40,36,37,27,39,37,33,40,37
Coimbatore,6,6,7,6,11,8,7,9,9,9,10,10,10,10,13,8,9,12,11
Delhi_Ghaziabad_Faridabad,47,46,44,47,45,44,45,49,44,43,44,46,45,45,46,47,47,43,44
Dhanbad,27,29,38,30,24,31,32,25,27,29,27,34,41,40,28,34,40,42,40
Durg-Bhilainagar,34,35,26,39,32,24,28,27,32,25,25,29,28,34,33,26,30,27,27
Gwalior,16,16,14,15,14,13,11,10,12,13,16,24,26,25,23,20,21,15,30
Hyderabad,22,20,19,26,29,38,29,34,34,31,34,31,30,39,29,27,37,33,15
Indore,15,14,16,32,28,14,40,31,19,34,38,40,40,20,27,30,36,23,31
Jabalpur,37,38,30,36,27,39,39,39,40,41,35,41,39,38,40,41,43,41,39
Jaipur,35,23,20,31,40,17,23,20,14,10,23,23,22,22,14,16,20,20,29
Jamshedpur,40,37,41,41,37,40,41,38,38,39,32,38,42,44,41,38,34,44,42
Jodhpur,5,4,5,3,4,2,3,2,2,4,4,6,4,7,3,3,4,3,6
Kalyan and Dombivali,8,7,6,7,6,7,6,7,7,8,8,9,9,9,9,12,10,8,8
Kannur,2,3,2,5,2,5,2,4,5,6,2,3,2,3,6,4,3,2,3
Kanpur,51,50,47,49,49,51,50,48,48,46,49,50,50,47,45,48,48,45,51
Kochi,3,2,4,2,5,3,5,6,6,2,3,4,5,5,5,7,6,5,4
Kolkata_Haora,44,44,45,44,44,45,44,45,45,45,45,44,48,46,47,45,44,47,45
Kollam,17,11,13,10,9,10,10,11,10,12,9,5,11,8,10,9,7,10,5
Kota,10,8,8,8,8,6,8,8,4,5,6,8,7,4,4,5,8,6,9
Kozhikode,4,5,3,4,3,4,4,5,3,3,5,2,3,2,2,2,2,4,2
Lucknow,49,45,48,50,48,49,48,47,49,48,50,47,46,50,49,46,46,51,48
Ludhiana,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Madurai,38,33,31,17,42,35,37,37,30,37,42,37,13,17,35,39,14,26,35
Malappuram,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meerut,46,48,46,46,46,47,47,46,50,49,46,49,47,48,50,50,49,48,47
Mumbai_Thane,32,30,23,25,20,23,18,17,17,16,17,14,16,15,17,18,22,17,17
Nagpur,39,36,33,38,35,41,38,40,35,33,31,21,24,35,32,33,38,30,19
Nashik,14,18,17,19,18,20,13,21,16,17,12,19,18,19,16,17,23,16,18
Patna,30,26,24,27,17,29,25,22,29,35,18,25,27,28,18,24,32,24,38
Pune,11,12,9,12,12,9,12,12,13,14,11,11,12,14,15,13,13,11,13
Raipur,26,40,32,37,26,22,30,35,33,26,24,27,32,31,34,32,35,21,12
Rajkot,19,22,25,34,36,33,33,36,36,24,37,30,20,33,21,19,19,22,25
Ranchi,13,15,22,21,13,18,16,14,20,19,13,15,23,23,19,21,18,25,26
Srinagar,12,13,11,14,16,19,19,15,22,18,22,16,25,24,31,28,27,32,32
Surat,45,47,49,45,47,46,46,44,46,47,48,45,38,42,44,44,42,37,36
Thiruvananthapuram,18,17,29,16,19,26,14,16,18,15,21,13,19,11,11,11,12,13,14
Thrissur,7,9,10,11,10,11,9,3,8,7,7,7,6,6,7,6,5,7,7
Tiruchirappalli,29,25,21,13,31,21,27,23,23,28,19,22,14,16,22,22,11,19,16
Vadodara,28,28,34,28,39,34,35,41,41,40,41,42,43,41,43,42,41,39,43
Varanasi,42,42,43,43,43,42,43,42,43,44,43,43,44,43,42,43,45,46,46
Vasai-Virar,24,27,37,22,22,15,24,32,26,27,36,33,35,26,38,36,39,28,21
Vijayawada,20,21,28,23,23,30,21,24,28,23,30,32,31,30,36,29,26,34,24
Vishakhapatnam,33,31,27,29,21,32,36,33,24,38,29,20,34,32,37,40,29,38,28
