ua,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agra,27,20,13,22,15,22,18,21,19,13,13,21,11,11,16,14,13,22,25
Ahmedabad,29,19,32,25,32,27,28,33,27,36,30,34,43,42,42,38,43,32,37
Allahabad,25,28,22,19,22,15,16,14,17,17,18,17,15,20,14,13,17,18,14
Amritsar,51,51,51,51,51,51,51,52,51,52,49,50,50,51,49,50,51,50,52
Asansol,28,34,37,33,31,29,29,19,18,22,23,22,29,33,23,24,30,30,29
Aurangabad,11,9,11,5,6,9,17,11,12,9,16,10,4,9,4,6,11,7,8
Bengaluru,19,16,12,11,13,19,9,15,13,11,10,5,6,4,11,9,4,13,5
Bhopal,15,14,16,15,11,12,15,13,9,14,7,13,12,10,10,10,19,10,11
Chandigarh,41,42,43,42,37,34,34,37,37,35,35,35,35,31,34,31,29,25,30
Chennai,21,32,31,13,23,33,30,38,34,40,43,42,41,21,36,42,38,44,34
Coimbatore,17,15,15,16,26,18,13,18,16,16,31,28,23,28,28,21,22,28,21
Delhi_Ghaziabad_Faridabad,32,21,23,29,16,16,19,27,21,23,21,26,20,18,20,23,31,23,23
Dhanbad,36,39,44,37,36,36,39,35,35,34,33,36,40,43,31,34,39,42,41
Durg-Bhilainagar,31,31,26,38,30,26,27,29,26,29,32,27,28,30,24,20,25,19,17
Gwalior,10,11,10,8,10,7,7,5,10,10,12,14,19,15,18,12,10,9,18
Hyderabad,7,7,5,10,7,10,5,10,8,12,11,8,10,12,8,8,15,11,6
Indore,6,4,8,23,14,6,23,17,11,20,20,24,27,14,21,22,26,12,20
Jabalpur,22,24,21,27,21,24,26,26,30,32,26,31,24,24,27,29,37,29,27
Jaipur,13,6,7,7,9,4,4,4,4,4,6,6,8,7,6,5,6,4,9
Jamshedpur,30,25,30,32,25,31,31,30,29,30,28,30,32,38,30,25,28,39,40
Jodhpur,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,2,3
Kalyan and Dombivali,4,5,6,6,4,8,6,6,6,8,8,9,9,8,7,11,8,8,10
Kannur,14,18,14,24,12,23,12,24,28,21,9,15,21,23,32,32,14,17,22
Kanpur,47,40,41,43,43,42,45,44,46,45,46,46,45,40,35,35,41,36,48
Kochi,34,29,34,30,33,28,33,31,33,19,27,32,33,37,33,40,34,34,33
Kolkata_Haora,45,47,48,48,49,47,48,50,47,47,47,47,48,47,46,45,45,48,47
Kollam,49,44,45,41,40,44,41,47,39,42,37,29,39,32,43,36,35,40,26
Kota,3,3,2,3,3,3,3,3,2,1,1,1,2,2,2,1,2,1,2
Kozhikode,24,27,24,21,24,30,22,22,23,15,19,18,22,22,19,19,9,21,15
Lucknow,43,38,42,45,35,39,38,32,45,37,36,38,38,39,38,30,32,33,36
Ludhiana,52,52,52,52,52,52,52,51,50,49,51,52,52,49,52,49,52,49,49
Madurai,37,30,28,14,41,38,35,42,31,33,44,44,17,17,40,44,24,35,38
Malappuram,2,2,3,2,2,2,2,2,3,3,3,3,1,1,1,2,1,3,1
Meerut,50,50,46,50,50,50,50,49,52,51,50,51,47,50,50,52,50,51,50
Mumbai_Thane,18,22,18,18,17,17,10,8,14,7,14,12,13,13,13,18,20,20,13
Nagpur,12,8,9,9,8,11,11,9,5,6,5,7,5,6,5,4,5,6,4
Nashik,20,23,19,28,27,21,21,23,24,24,15,16,18,16,15,17,23,15,16
Patna,26,26,27,26,19,25,25,20,25,31,25,20,31,29,22,27,36,31,31
Pune,5,10,4,4,5,5,8,7,7,5,4,4,7,5,9,7,7,5,7
Raipur,23,37,29,34,28,20,24,28,20,25,22,19,26,27,25,28,27,14,12
Rajkot,9,13,20,31,29,32,32,36,36,27,34,23,14,35,17,16,16,27,28
Ranchi,16,17,25,17,18,13,14,12,15,18,17,11,16,19,12,15,12,16,19
Srinagar,39,45,39,47,48,48,49,48,49,48,52,49,51,52,51,51,49,52,51
Surat,42,48,49,46,47,45,46,40,48,50,42,45,37,45,45,46,46,41,42
Thiruvananthapuram,44,43,47,40,46,49,44,43,43,39,40,37,36,34,37,39,42,37,43
Thrissur,33,36,35,35,34,35,36,16,32,28,29,25,25,25,26,33,21,26,24
Tiruchirappalli,40,35,33,20,45,41,42,41,40,43,39,39,34,26,41,37,18,38,32
Vadodara,8,12,17,12,20,14,20,25,22,26,24,33,30,36,29,26,33,24,35
Varanasi,38,41,36,36,38,37,40,34,38,41,38,40,42,41,39,41,44,45,46
Vasai-Virar,48,49,50,44,42,40,43,46,41,44,48,48,49,46,48,47,48,46,44
Vijayawada,35,33,38,39,39,43,37,39,44,38,41,43,44,44,44,43,40,43,39
Vishakhapatnam,46,46,40,49,44,46,47,45,42,46,45,41,46,48,47,48,47,47,45
