ua,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agra,48,46,46,45,44,46,44,46,45,44,46,42,45,42,41,41,41,40,44
Ahmedabad,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52
Allahabad,43,39,40,44,38,43,39,41,38,35,39,36,37,40,38,38,36,36,39
Amritsar,39,44,43,41,41,36,33,43,42,46,35,38,34,36,34,39,31,39,40
Asansol,28,22,22,24,22,24,18,21,25,26,26,29,32,29,25,21,18,27,25
Aurangabad,17,17,20,17,19,20,20,22,19,18,22,17,16,18,17,17,22,17,17
Bengaluru,20,31,33,33,40,40,41,39,43,39,45,44,42,44,44,46,44,46,45
Bhopal,26,30,18,21,25,25,24,28,31,29,32,25,24,20,20,22,27,29,31
Chandigarh,16,20,16,16,17,18,16,16,17,17,15,15,14,15,15,13,16,18,18
Chennai,27,21,30,32,32,16,26,17,21,22,20,18,22,31,26,18,20,19,26
Coimbatore,10,10,8,8,9,9,9,9,8,9,8,8,8,9,9,9,7,9,10
Delhi_Ghaziabad_Faridabad,50,50,50,50,50,51,50,51,50,49,50,50,51,51,51,51,50,49,49
Dhanbad,15,15,14,18,15,15,15,15,18,19,21,21,28,30,23,23,28,32,28
Durg-Bhilainagar,24,25,23,23,24,22,21,26,29,25,23,24,25,27,31,28,33,30,30
Gwalior,29,29,26,28,30,32,28,30,28,23,28,31,30,33,28,32,30,31,32
Hyderabad,40,41,44,43,45,45,45,44,46,42,44,46,48,46,47,45,45,43,35
Indore,32,34,34,38,39,33,42,37,36,34,41,41,40,26,33,33,40,34,33
Jabalpur,41,40,37,35,35,39,37,34,35,33,37,39,41,38,42,43,43,42,41
Jaipur,45,45,41,46,48,44,46,45,44,36,43,47,43,39,36,42,42,47,46
Jamshedpur,37,37,38,39,36,35,34,33,33,37,33,35,38,45,43,40,37,41,36
Jodhpur,30,27,24,22,20,21,19,18,16,15,16,16,17,16,14,16,15,15,15
Kalyan and Dombivali,19,14,13,14,14,14,12,11,11,12,13,14,13,13,13,15,12,11,13
Kannur,3,5,3,5,4,5,2,4,2,4,2,5,1,5,5,4,5,3,5
Kanpur,49,49,48,48,47,49,48,47,47,47,47,48,46,47,46,47,47,45,48
Kochi,1,1,1,1,1,1,3,2,4,1,1,2,3,1,3,3,3,1,3
Kolkata_Haora,36,32,35,27,28,34,31,31,32,38,36,33,36,37,40,37,34,37,38
Kollam,5,4,7,4,5,4,6,6,5,5,5,3,6,4,4,6,4,5,4
Kota,34,36,36,34,33,29,29,27,20,20,29,26,23,19,19,26,19,26,27
Kozhikode,4,3,4,3,2,3,4,5,3,2,4,4,4,3,2,1,1,4,2
Lucknow,47,47,49,49,49,48,49,49,49,50,51,49,47,50,48,48,48,52,51
Ludhiana,51,51,51,51,51,50,51,50,51,51,49,51,50,49,49,49,49,50,50
Madurai,22,23,28,19,21,19,25,19,26,24,24,20,18,17,21,19,17,16,22
Malappuram,2,2,2,2,3,2,1,1,1,3,3,1,2,2,1,2,2,2,1
Meerut,33,38,39,36,34,37,36,35,40,41,31,34,35,34,39,35,35,35,37
Mumbai_Thane,38,33,27,29,29,31,38,36,24,31,25,22,21,22,24,25,21,21,23
Nagpur,46,48,47,47,46,47,47,48,48,48,48,45,49,48,50,50,51,48,47
Nashik,14,16,17,15,16,17,17,20,15,16,17,19,20,21,22,24,23,20,20
Patna,23,19,21,30,26,28,22,23,27,27,18,27,19,23,18,20,24,23,34
Pune,21,24,25,25,31,30,32,32,30,30,34,32,33,28,29,29,32,25,29
Raipur,25,26,29,26,23,26,30,29,34,32,30,30,31,32,32,31,38,28,16
Rajkot,31,35,31,31,27,27,23,24,22,28,27,28,27,24,27,27,25,22,21
Ranchi,18,18,19,20,18,23,27,25,23,21,19,23,26,25,30,30,26,33,24
Srinagar,7,7,5,6,7,6,7,7,7,6,7,7,7,7,8,8,8,8,8
Surat,42,43,45,42,42,42,43,40,41,43,42,40,29,35,37,34,29,24,19
Thiruvananthapuram,8,8,9,9,8,8,8,8,9,8,10,9,9,8,7,7,9,7,7
Thrissur,6,6,6,7,6,7,5,3,6,7,6,6,5,6,6,5,6,6,6
Tiruchirappalli,12,13,15,13,12,11,11,10,10,11,9,12,12,12,10,11,11,12,11
Vadodara,44,42,42,40,43,41,40,42,39,45,40,43,44,43,45,44,46,44,43
Varanasi,35,28,32,37,37,38,35,38,37,40,38,37,39,41,35,36,39,38,42
Vasai-Virar,9,9,10,10,11,10,10,12,13,10,11,11,11,10,11,10,13,10,9
Vijayawada,13,12,12,12,13,13,13,13,14,13,14,13,15,14,16,14,14,14,14
Vishakhapatnam,11,11,11,11,10,12,14,14,12,14,12,10,10,11,12,12,10,13,12
